Dovahzul
Inn,Praan hofkaf
Bathroom,Tiidkipraankest hofkaf
Where is the inn,Zu'u yah praan hofkaf?
Where is the restaurant,Zu'u yah kipraan hofkaf?
Where is the bathroom,Zu'u yah tiidkipraankest hofkaf?
Carriage,Wunduntilaar
How much,Pogaan
How many,Pogaan
Where is,Zu'u yah
Do you speak english,Tinvaak hi English?
English,English
Do you speak dovahzul,Tinvaak hi Dovahzul?
Dovahzul,Dovahzul
What is your name,Wo los hi?
What,Wo
What is,Wo los
My name is,Zu'u
Can you speak more slowly,Tinvaak voth drem
I need a carriage,Zu'u fen lost wunduntilaar
I need help,Zu'u fen mir
Can you help me,Fen hi aak?
I'm lost,Zu'u sizaan
I am an american,Zu'u American
Please call the city guard,Krosis yah sahsun vahlok
I need a healer,Zu'u fen vokrii
Not now,Ni tiid
Follow me,Zu'u fen aak
Pardon me,Krosis
Excuse me,Krosis
Please,Krosis
Thank you,Kogaan hin
I don't understand,Zu'u nid mindoraan
I'm sorry,Aaz hah so
Yes,Geh
Greetings,Drem yol lok
Hello,Drem yol lok
Hi,Grind
Good night,Paaz vulon
Goodbye,Vah Su'um Ven
Good moring,Drem yol lok
Good day,Paaz sul
Good evening,Prucah wundunne
How are you,Bo paaz?
I am good,Zu'u pruzah
I am okay,Zu'u los ol zu'u
I am not well,Ni pruzah
I am hungry,Zu'u piraak bahlok
I have to go,Tiid Bo Viing
That's too much,Unslaad
I don't know,Vomindok
Right,Rektig
Left,Onks
Straight,Ahaar
I would like,Zu'u fen
I want,Zu'u fen
Water,Oka
Pay,Yuvon
Money,Yuvon
Nice to meet you,Paaz Shul Grind
Air,Su
Alive,Nahlaas
All,Pah
A,Aan
An,Aan
Age,Bok
Ago,Vod
Allegiance,Mir
Ambition,Paar
Ancient,Kruziik
Animal,Raan
And,Ahrk
Anger,Rahgot
Angry,Rahgron
Anvil,Keyn
Any,Naan
Archer,Ronaan
Argonian,Siigonis
Arrow,Ronaaz
Arise,Alok
Army,Lahvu
Arrogance,Pahlok
As,Ol
At,Ahst
Attempt,Togaat
Autumn,Gravuun
Await,Saraan
Hahkun,Axe
Balance,Ro
Bard,Sonaan
Bane,Feyn
Battle,Grah
Field,Frod
Bay,Vaal
Be,Kos
Beast,Sunvaar
Beautiful,Brit
Become,Meyz
Before,Us
Bear,Kodaav
Beard,Vum
Beast,Sivaas
Beauty,Brii
Beg,Bolog
Bend,Kreh
Best,Pruzaan
Betrayal,Gruth
Bewitch,Ensosin
Bind,Gron
Bitter,Ahzid
Black,Ved
Blade,Tuz
Bleed,Sosaal
Blessing,Kogaan
Blood,Sos
Blue,Bii
Body,Kopraan
Bold,Boziik
Bone,Qeth
Born,Kiin
Borrow,Bodiis
Both,Ney
Bow,Qiilaan
Brave,Kril
Bravely,Voth Ahkrin
Break,Kren
Breath,Su�um
Bring,Drun
Broken,Krent
Brother,Zeymah
Brutal,Hevno
Brutality,Henvoraak
Build,Wahl
Burn,Ag
Bury,Deyto
But,Nuz
By,Naal
Cannot,Nis
Carve,Dwiirok
Cat,Kaaz
Eternal,Unslaad
Champion,Kaal
Charge,Fonaar
Child,Kiir
Clan,Brod
Cloud,Gram
Cold,Krah
Combat,Vukein
Come,Meyz
Commemorate,Vahrukiv
Companion,Zeymahzin
Conqueror,Kroniid
Courage,Ahkrin
Courageous,Krin
Coward,Nikriin
Cowardly,Nivahriin
Crag,Kol
Create,Wahl
Crimson,Sahqon
Crown,Du�ul
Cruel,Munax
Cruelty,Nax
Cut,Vey
Dark,Vul
Darkness,Vulom
Daughter,Mon
Dawn,Vu
Day,Sul
Dead,Dilon
Death,Dinok
Deceive,Lo
Deed,Sod
Defeat,Viik
Destroy,Al
Devour,Du
Did,Drey
Die,Dir
Disease,Krasnovaar
Dishonor,Dukaan
Do,Dreh
Does,Dreh
Doom,Daan
Doomed,Daanik
Door,Miiraad
Domination,Rel
Dragon,Dovah
Dragonblood,Sossedov
Dragonborn,Dovahkiin
Dragonstone,Dovahgolz
Dream,Hahnu
Drun,Bring
Duty,Heyv
Each,Enook
Earth,Gol
East,Jer
Eat,Naak
Eaten,Naako
Elder Scroll,Kel
Elf,Fahliil
End,Oblaan
Enemy,Hokoron
Ephemeral,Frul
Escape,Filok
Eternal,Unslaad
Eternity,Ul
Even.Orin
Ever,Alun
Evil,Vokul
Extinguish,Evenaar
Eye,Miin
Face,Luft
Fade,Feim
Fail,Funt
Fair,Paaz
Fall,Mah
Fallen,Mahlaan
Far,Gut
Fate,Dez
Father,Bormah
Fear,Faas
Fearless,Faasnu
Feed,Nahkip
Feral,Fel
Field,Frod
Fierce,Norok
Fight,Krif
Find,Siiv
Finger,Sinak
Finite,Zah
Fire,Yol
Fist,Lon
Flee,Bovul
Flesh,Slen
Fly,Bo
Focus,Morah
Foe,Paal
Food,Kip
Fool,Mey
For,Fah
Force,Fus
Forest,Feykro
Foretold,Prodah
Forge,Heim
Forgotten,Vodahmin
Forward,Amativ
Foul,Bein
Found,Siiv
Forever,Mahfaeraak
Free,Stin
Freeze,Diin
Friend,Fahdon
From,Nol
Frost,Fo
Fury,Nah
Gahvon,Yield
Gale,Riik
Ghost,Gaaf
Give,Ofan
Glorious,Morokei
Glory,Moro
Goblin,Gogil
God,Rah
Good,Pruzah
Gold,Yuvon
Grace,Dun
Grass,Veydo
Gray,Sadon
Great,Lot
Green,Graag
Ground,Golt
Guardian,Vahlok
Guide,Aak
Hair,Om
Hammer,Tu
Hand,Haal
Hath,Loost
Haunt,Folook
Have,Lost
He,Rok
Head,Klov
Hear,Hon
Hearken,Huzrah
Her,Ek
Herald,Qolaas
Here,Het
Hero,Hun
Heroic,Hungaar
Heroically,Zohungaar
Hill,Ahrol
His,Ok
Hoar,Fodiiz
Home,Hofkiin
Honor,Zin
Horror,Vol
Horse,Key
Hot,Frin
Hound,Dok
House,Hofkah
Humble,Bonaar
Hunger,Bahlok
Hunt,Nir
Hunger,Bahlok
Hunter,Ah
Husband,Ahmul
I,Zu�u
Ice,Iiz
In,Ko
Incomprehensible,Vomindoraan
Inferno,Toor
Instead,Sinon
Into,Kotin
Intruder,Volaan
Invisible,Vonuz
Is,Los
Issue,Komeyt
It,Nii
Itself,Nimaar
Ivory,Ozinvey
Join,Aav
Keep,Dein
Keeper,Deinmaar
Khajiit,kaaz
Kill,Krii
King,Jun
Kings of the East,Junnesejer
Kingdom,Junaar
Kinzon,Sharp
Kyne,Kaan
Last,Laat
Leader,Kinbok
Leech,Lun
Legend,Zoor
Lest,Leh
Lie,Nok
Lightning,Qo
Life,Laas
Like,Med
Lion,Am
Little,Mal
Live,Lahney
Living,Nahl
Lizard,Siigonis
Lo,Ond
Long,Lingrah
Lord,Drog
Lose,Saan
Lost,Sizaan
Loyal,Mid
Loyalists,Middovahhe
Maiden,Vahdin
Man,Mun
Mankind,ul
Many,Pogaan
March,Yoriik
Master,In
Maw,Jot
May,Aal
Meal,Kipraan
Meet,Grind
Memory,Vahrukt
Men,Muz
Mercy,Aaz
Mind,Hahdrim
Mine,Dii
Mighty,Sahrot
Mirror,Fiik
Mortal,Joor
Most,Zok
Mother,Monah
Mountain,Strunmah
Much,Pogaas
Murder,Kriivah
Murderer,Krivaan
Music,Lovaas
Muster,Lahvraan
My,Dii
Necromancer,Nahgahdinok
Night,Vulon
Nightmare,Hahvulon
Nirn,Vus
No,Nid
Noble,Nonvul
Nord,Bron
North,Brom
Not,Ni
Now,Nu
Oak,Wol
Obedience,Thaarn
Of,Do
Old,Wuth
On,Nau
Once,Ont
One,Gein
Oneself,Geinmaar
Only,Nunon
Or,Uv
Orc,Ogiim
Order,Uth
Orphan,Oth
Our,Un
Overlord,Thur
Ozinvey,Ivory
Pack,Tah
Pain,Faaz
Passion,Smoliin
Peace,Drem
Phantom,Sah
Plain,Pindaar
Poison,Viidost
Portal,Miiraak
Power,Suleyk
Praise,Werid
Pray,Draal
Pride,Kah
Prince,Kulaan
Princess,Kulaas
Prophecy,Qostiid
Push,Dah
Queen,Jud
Rage,Rahgol
Raven,Ruvaak
Realm,Suleyksejun
Red,Sahqo
Regiment,Ronax
Remember,Dahmaan
Rest,Praan
Restore,Vokrii
Remove,Govey
Return,Daal
Rival,Ronit
River,Rath
Roar,Rein
Rose,Peyt
Rout,Graan
Run,Ru
Rune,Sik
Rage,Ruth
Sacred,Revak
Sacrifice,Zahrahmiik
Sad,Tiiraaz
Sand,Klo
Savage,Bruniik
Savior,Saviik
Scorn,Beyn
Sea,Okaaz
Search,Tovit
Searcher,Tovitaan
Season,Evgir
See,Koraav
Seek,Yah
Serpent,Vith
Servant,Aar
Serve,Aam
Service,Ahmik
Shadow,Vokun
Shall,Fent
Shame,Paak
Sharp,Kinzon
She,Rek
Shield,Spaan
Shine,Viin
Shining,Viintaas
Ship,Veysun
Shout,Thu�um
Shudder,Motaad
Sick,Kras
Sickness,Krasaar
Silenced,Nahlot
Sister,Briinah
Sky,Lok
Skyrim,Keizaal
Slayer,Kriid
Slip,Motmah
Slippery,Motmahus
Snow,Od
Snowy,Odus
So,Ful
Soil,Denek
Some,Osos
Son,Kul
Song,Lovaas
Sorceror,Kro
Sorrow,Krosis
Soul,Sil
Speak,Tinvaak
Spectre,Brendon
Spirit,Zii
Spring,Vah
Stand,Kriist
Statue,Nus
Steal,Gahrot
Steel,Dwiin
Sting,Nin
Stink,Pook
Stone,Qethsegol
Storm,Strun
Strategem,Grahmindol
Strength,Mulaag
Strong,Mul
Such,Grik
Suffer,Aus
Summer,Koor
Summon,Bel
Summit,Naar
Sun,Krein
Sun,Shul
Swallow,Diivon
Swear,Vaat
Swore,Vaat
Sword,Zahkrii
Sworn,Vahriin
Tale,Tey
Talk,Tinvaak
Tamriel,Taazokaan
Tear,Luv
Tempest,Kest
Temporary,Frul
Terror,Maar
That,Tol
The,Fin
Then,Ruz
There,Til
They,Nust
Thief,Tafiir
Think,Mindok
Through,Zeim
Time,Tiid
This,Daar
These,Daar
To,Wah
Told,Fun
Touch,Haalvut
Trap,Horvut
Catch,Horvutah
Travel,Wundun
Traveler,Wunduniik
Treacherous,Tahrodiis
Treachery,Tahrovin
Tree,Reyth
Trick,Mindol
Triumph,Zind
Troll,Ufiik
True,Vahzah
Trust,Ov
Truth,Vahzen
Try,Unt
Twilight,Suvulaan
Unbound,Staadnau
Unbridled,Uznahgaar
Understanding,Mindoraan
Unending,Unslaad
Unfurl,Fundein
Unknown,Vomindok
Forgotten,Vodahmin
Unseen,Vonun
Until,Erei
Unyielding,Sindungahvon
Valiant,Krilot
Valley,Lumnaar
Valor,Vur
Vanquish,Qahnaar
Vengeance,Nahkriin
Very,Rinik
Victory,Krongrah
Village,Sahsun
Villager,Sahsunaar
Voice,Zul
Void,Nil
Wage,Win
Wander,Rovaan
War,Kein
Warlord,Konahrik
Warmth,Faad
Warrior,Kendov
We,Mu
Weak,Sahlo
Weapon,Zun
When,Fod
Whirlwind,Wuld
White,Sot
Who,Wo
Whose,Wen
Wield,Kod
Wife,Kiim
Will,Fen
Win,Kron
Wind,Ven
Wing,Viing
Wise,Onik
Wisdom,Onikaan
Wish,Hind
With,Voth
Wither,Liiv
Wolf,Grohiik
Word,Rot
World,Lein
Worm,Lir
Worship,Zein
Worthy,Balaan
Wound,Ahraan
Wrath,Bah
Write,Pel
Wrong,Folaas
Yield,Gahvon
Your,Hin
Young,Goraan
